"total_pop","county_fips_code","commuters_by_public_transportation","commuters_by_car_truck_van","commuters_by_subway_or_elevated","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","two_or_more_races_pop","not_hispanic_pop","median_income","median_age","families_with_young_children","high_school_diploma","bachelors_degree","graduate_professional_degree","bachelors_degree_or_higher_25_64","confirmed_cases","deaths","total_population","area_sqmi","population_density_per_sqmi","percent_below_poverty","percent_unemployed_CDC","eightieth_percentile_income","twentieth_percentile_income","income_ratio","stay_at_home_announced","stay_at_home_effective","date_stay_at_home_announced","percent_fair_or_poor_health","percent_smokers","percent_adults_with_obesity","percent_physically_inactive","percent_with_access_to_exercise_opportunities","percent_excessive_drinking","percent_adults_with_diabetes","percent_vaccinated","date","lat","lon"
11434,48131,0,3444,0,1025,165,32,10211,0,1,0,1223,35443,36.8,866,2071,394,247,433,1058,32,11510,1793.47692334313,6.41770175584127,24.5,11.5,75934,14496,5.2382726269,"yes","yes","2020-03-31",32.804554898,15.741370984,25.9,23.2,57.740621287,15.091784829,11.4,34,2020-04-14,27.6813869706477,-98.5088786997695
8793,48009,14,3990,0,7787,74,34,731,23,0,144,8062,63192,44.8,477,1753,1122,333,1178,694,10,8750,903.11406843732,9.68869858836363,8.1,3.3,116886,26571,4.3990064356,"yes","yes","2020-03-31",13.891397662,14.062606986,26.8,19.3,22.509388116,19.251832626,11.5,46,2020-05-15,33.6152258248877,-98.6876480159717
20558,48177,115,8152,0,8703,1369,36,10293,14,0,138,10265,47516,36.9,1739,4062,1278,465,1288,1962,29,20370,1066.68587533064,19.096531107329,17.2,6.5,100011,22255,4.4938665468,"yes","no","2020-03-31",24.074197011,15.775322512,30.5,26.4,40.268591912,16.772022678,23.5,39,2020-04-01,29.4566852320623,-97.4925552588455
5172,48119,11,1796,0,4214,411,38,357,9,2,141,4815,42642,43.7,338,1042,454,170,444,213,5,5226,256.825127192498,20.3484762457957,21.5,9.4,98500,21583,4.5637770467,"yes","yes","2020-03-31",18.009879663,16.167868908,33.7,25.1,69.336646913,17.773060607,10.6,42,2020-04-08,33.386282165734,-95.6723471970233
43315,48499,52,14135,0,36029,2389,38,4167,260,49,349,39148,48038,48.1,2278,8587,3719,1309,2998,2553,85,43198,645.2360368437,66.9491434658727,13.3,9.3,97071,21085,4.6037941665,"yes","no","2020-03-31",15.970259565,13.611787946,28,31.9,39.455247355,17.194400092,17.9,40,2020-04-01,32.7864121700688,-95.3820819691138
17346,48415,22,6403,22,9306,784,38,6891,21,30,276,10455,54565,35.6,1522,2572,1258,601,1310,2270,46,17314,905.444129528286,19.122107521996,8.1,4.3,106469,25164,4.2310046098,"yes","yes","2020-03-31",19.793088498,14.650100745,29.6,33.5,40.239938538,19.50207142,8.4,31,2020-04-09,32.74629046677,-100.916438214519
3858,48095,0,929,0,1731,26,38,2046,4,0,13,1812,46696,41.9,118,721,237,86,213,245,4,4142,983.754690841898,4.21039923728879,10.6,1.9,95143,16825,5.654858841,"yes","yes","2020-03-31",18.961250515,12.965006404,28,24.9,70.124785907,16.978536179,5.3,40,2020-04-10,31.3265798560022,-99.8640376892039
41430,48481,69,17706,0,18756,5725,38,16682,28,33,168,24748,50145,37.3,3260,7908,2560,1463,3033,2988,84,41377,1086.15004433531,38.0951050140788,17.7,5.7,106073,20375,5.2060368098,"no","no","2020-03-31",23.01881359,15.445720424,36.7,26.8,62.65503876,17.222371431,15.1,36,2020-03-25,29.2778861828624,-96.2221033601363
6739,48169,0,2267,0,2726,300,38,3639,6,7,23,3100,53832,40.1,310,1148,412,104,368,278,18,6614,893.41332518568,7.40306844944964,13.4,2.9,92905,28592,3.2493354785,"yes","yes","2020-03-31",19.920813034,14.325170938,22.6,21.7,12.753443739,22.394245704,5.2,33,2020-04-30,33.1798720632354,-101.29846543076
12670,48063,23,4944,0,7168,2140,40,3034,49,0,239,9636,41811,36.8,1056,2412,964,399,1003,969,32,12631,195.82505213603,64.5014509748521,19.3,6.6,83698,20719,4.0396737294,"yes","no","2020-03-31",20.616382553,16.051539618,27.9,25.4,60.140311265,16.698926507,16,35,2020-04-01,32.9732209909126,-94.9785255849076
14990,48353,0,5806,0,8548,733,42,5456,59,0,152,9534,42019,38.8,1182,2570,948,349,903,1399,38,15017,911.996761551378,16.4660672417903,17.6,6.3,91837,18585,4.9414581652,"yes","yes","2020-03-31",21.067346741,14.887025311,35.9,36.5,76.360410095,17.562277647,18.9,33,2020-04-24,32.3035148512724,-100.405966119883
9365,48429,20,3389,0,6756,204,44,2176,58,20,107,7189,45862,39.2,646,1825,712,371,760,629,19,9787,896.719053675382,10.9142322334805,22,6,89049,17490,5.0914236707,"yes","yes","2020-03-31",19.996193352,16.143652313,30.7,32.8,56.344755971,18.368215117,8.1,32,2020-04-10,32.735877271179,-98.8361919892677
3702,48229,0,903,0,684,55,44,2901,0,0,18,801,26346,38.8,233,553,169,18,152,466,8,3481,4570.52316764135,0.761619594151712,37.9,5.6,59219,11321,5.2308983305,"yes","yes","2020-03-31",34.256621432,18.696341829,34.2,25.5,0.4602991945,15.317812228,16.6,23,2020-05-26,31.4562397209649,-105.386478128999
